"glotto";"language name";"latitude";"longitude";"comment";"Source";"author";"title";"publication";"publisher";"school";"address";"year";"edition";"entryType";"booktitle";"editor";"link";"date of entry";"link to source";"family";"Kinship";"Pronouns";"ISO";"Classification";"location";"marriage_rule"
"fiji1243";"Boumaa Fijian";178,32355;-17,80625;;"Dixon, R.M.W. 1988. A grammar of Boumaa Fijian. Chicago: University of Chicago Press.";"Dixon, R";"W";"M";;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Central Pacific linkage > Tokelau-Fijian > East Fijian > fiji1243";;
"anei1239";"Aneityum";169,82462;-20,18866;"Cleaned up paradigm, entered by NE & OE, with first formal variant of free pronouns only, and free variant only in case of free pronoun clitic variation";"Lynch, John. 2000. A grammar of Anejom. Canberra: Pacific Linguistics, RSPAS, the Australian National University.";"Lynch, John";" A grammar of Anejom";2000;;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Southern Melanesian > Southern Vanuatu > anei1239";;
"NO_GLOTTOCODE";"Komnzo";"no longitude";"no latitude";;"Döhler, Christian. 2016. Komnzo: A language of Southern New Guinea. PhD Thesis. The Australian National University. Canberra.";"Döhler, Christian";" Komnzo: A language of Southern New Guinea";2016;;;;;;;;;;;;;;;;"NO_GLOTTOCODE: no Classification";;
"zyud1238";"Mblafe";"no longitude";"no latitude";;;;"missing";"missing";;;;;;;;;;;;;;;;"Uralic > Permian > Komi > Komi-Permyak > zyud1238";;
"kunj1246";"Kunja / Bondobol";141,42126;-8,99967;;;;"missing";"missing";;;;;;;;;;;;;;;;"Morehead-Wasur > Morehead-Maro > Tonda > Eastern Tonda > kunj1246";;
"lati1261";"Latin";12,45021;41,90264;"possessive adjective - citation form ";"Mountford, James. 1952. Kennedy's Revised Latin Primer. Longman's. Harlow, Essex.  ";"Mountford, James";" Kennedy's Revised Latin Primer";1952;;;;;;;;;;;;;;;;"Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > lati1261";;
"dutc1256";"Dutch";5,62154;52,24966;;"Spronck, Stef. 2013. Personal communication.";"Spronck, Stef";" Personal communication";2013;;;;;;;;;;;;;;;;"Indo-European > Germanic > Northwest Germanic > West Germanic > Franconian > Low Franconian > Macro-Dutch > Middle-Modern Dutch > Modern Dutch > dutc1256";;
"ngar1284";"Ungarinyin";126,46321;-16,34724;;"Rumsey, Alan. 1982. An intra-sentence grammar of Ungarinjin, North-Western Australia, Canberra: Department of Linguistics, Research School of Pacific Studies, Australian National University. ";"Rumsey, Alan";" An intra-sentence grammar of Ungarinjin, North-Western Australia, Canberra: Department of Linguistics, Research School of Pacific Studies, Australian National University";1982;;;;;;;;;;;;;;;;"Worrorran > ngar1284";;
"mara1386";"Maranunggu";130,14083;-13,66763;;"Tryon, Darrell T. 1970. An Introduction to Maranungku. B-15. Canberra: Pacific Lingusitics";"Tryon, Darrell T";" An Introduction to Maranungku";1970;;;;;;;;;;;;;;;;"Western Daly > Maranunggu-Ame-Manda > mara1386";;
"bard1255";"Bardi";122,90546;-16,61194;"no comment";;;;;;;;;;;;;;;;;;;;"Nyulnyulan > Western Nyulnyulan > Bardic > bard1255";;
"mull1237";"Malak-Malak";130,65946;-13,25667;;"Birk, D.B.W. 1976. The MalakMalak language, Daly River (Western Arnhem Land). Canberra: Department of Linguistics, Research School of Pacific Studies, Australian National University.";"Birk, D";"W";"B";;;;;;;;;;;;;;;;"Northern Daly > mull1237";;
"kalk1246";"Kalkutungu";146,00307;-23,49886;;"Black, Barry J. A Kalkatungu grammar. Canberra: Department of Linguistics, Research School of Pacific Studies, Australian National University.";"Black, Barry J";" Canberra: Department of Linguistics, Research School of Pacific Studies, Australian National University";" A Kalkatungu grammar";;;;;;;;;;;;;;;;"Pama-Nyungan > Kalkatungic > kalk1246";;
"rita1239";"Ritharngu";135,19142;-13,52623;;"Heath, Jeffrey. 1980. Basic materials in Ritharngu: Grammar, texts and dictionary. B62. Pacific Linguistics: Canberra.";"Heath, Jeffrey";" Basic materials in Ritharngu: Grammar, texts and dictionary";1980;;;;;;;;;;;;;;;;"Pama-Nyungan > Yuulngu > Southern Yolngu > rita1239";;
"kala1380";"Garlali";"no longitude";"no latitude";;"McDonald, M and S.A. Wurm. 1979. Basic materials in Wankumara (Galali): Grammar, sentences and vocabulary. B65. Pacific Linguistics: Canberra.";"McDonald, M and S";" Wurm";"A";;;;;;;;;;;;;;;;"Pama-Nyungan > Karnic > Ngura > kala1380";;
"darl1243";"Paakantyi";142,60072;-32,72549;;"Hercus, L.A. 1982. The Bāgandji language. B-67. Pacific Linguistics: Canberra.";"Hercus, L";1982;"A";;;;;;;;;;;;;;;;"Pama-Nyungan > Yarli-Baagandji > darl1243";;
"wand1263";"Wandarang";135,7048;-14,29959;;"Heath, J. 1980. Basic materials in Warndarang: Grammar, texts and dictionary. B-72. Canberra: Department of Linguistics, Research School of Pacific Studies, the Australian National University.";"Heath, J";" Basic materials in Warndarang: Grammar, texts and dictionary";1980;;;;;;;;;;;;;;;;"Mangarrayi-Maran > Maran > wand1263";;
"gami1243";"Yuwaalaraay";149,90546;-29,98062;"Question marks copied from the source, where author was unsure of the forms.";"Williams, Corinne J. 1980. A grammar of Yuwaalaraay. B74. Pacific Linguistics: Canberra.";"Williams, Corinne J";" A grammar of Yuwaalaraay";1980;;;;;;;;;;;;;;;;"Pama-Nyungan > Southeastern Pama-Nyungan > Wiradhuric > gami1243";;
"jaru1254";"Jaru";128,53978;-18,11152;;"Tsunoda, Tasaku. 1988. The Djaru Language of Kimberley, Western Australia. B 78. Pacific Linguistics: Canberra.";"Tsunoda, Tasaku";" The Djaru Language of Kimberley, Western Australia";1988;;;;;;;;;;;;;;;;"Pama-Nyungan > Desert Nyungic > Ngumpin-Yapa > Ngumpin > Jaru-Ngardi > jaru1254";;
"tyar1236";"Tyeraity";130,66566;-12,48854;;"Breen, Gavan. 1990. Salvage studies of a number of extinct Aboriginal languages of Western Queensland. Canberra: Pacific Linguistics, Australian National University. ";"Breen, Gavan";" Salvage studies of a number of extinct Aboriginal languages of Western Queensland";1990;;;;;;;;;;;;;;;;"Northern Daly > tyar1236";;
"mara1385";"Mara";134,88919;-14,77133;;"Heath, Jeffrey. 1981. Basic materials in Mara: Grammar, texts and dictionary. C-60. Pacific Linguistics: Canberra.";"Heath, Jeffrey";" Basic materials in Mara: Grammar, texts and dictionary";1981;;;;;;;;;;;;;;;;"Mangarrayi-Maran > Maran > mara1385";;
"worr1237";"Worrorra";"no longitude";"no latitude";;"Capell, A., and H.H.J. Coate. 1984. Comparative studies in Northern Kimberley languages. C69. Pacific Linguistics: Canberra.";"Capell, A";"H";", and H";;;;;;;;;;;;;;;;"Worrorran > Western Worrorran > worr1237";;
"wila1240";"Wilawila";126,60003;-14,91051;;"Capell, A., and H.H.J. Coate. 1984. Comparative studies in Northern Kimberley languages. C69. Pacific Linguistics: Canberra.";"Capell, A";"H";", and H";;;;;;;;;;;;;;;;"Worrorran > Northern Worrorran > wila1240";;
"gamb1251";"Gambera";126,27131;-14,29546;;"Capell, A., and H.H.J. Coate. 1984. Comparative studies in Northern Kimberley languages. C69. Pacific Linguistics: Canberra.";"Capell, A";"H";", and H";;;;;;;;;;;;;;;;"Worrorran > Northern Worrorran > Forrest River > gamb1251";;
"yawi1239";"Yawijibaya";"no longitude";"no latitude";;"Capell, A., and H.H.J. Coate. 1984. Comparative studies in Northern Kimberley languages. C69. Pacific Linguistics: Canberra.";"Capell, A";"H";", and H";;;;;;;;;;;;;;;;"Worrorran > Western Worrorran > Worrorra > yawi1239";;
"yind1247";"Yindjibarndi";117,07418;-21,54524;;"Wordick, F.J.F. 1982. The Yindjibarndi language. Canberra: Department of Linguistics, Research School of Pacific Studies, Australian National University for the Linguistic Circle of Canberra.";"Wordick, F";"F";"J";;;;;;;;;;;;;;;;"Pama-Nyungan > South-West Pama-Nyungan > Pilbara > Ngayarda > Central Ngayarda > Yindjibarndi-Kurrama > yind1247";;
"nyun1247";"Nyunga";118,15081;-33,11995;"no comment";;;;;;;;;;;;;;;;;;;;"Pama-Nyungan > South-West Pama-Nyungan > nyun1247";;
"muru1266";"Muruwari";146,54642;-28,96178;;"Oates, Lynette F. 1988. The Muruwari language. C-108. Pacific Linguistics: Canberra.";"Oates, Lynette F";" The Muruwari language";1988;;;;;;;;;;;;;;;;"Pama-Nyungan > Southeastern Pama-Nyungan > New South Wales Pama-Nyungan > Muruwaric > muru1266";;
"mart1256";"Wangkajunga";122,02575;-24,30166;;"Jones, Barbara. 2011. A grammar of Wangkajunga: A language of the Great Sandy Desert of North Western Australia, Canberra: Pacific Linguistics 636, Research School of Pacific and Asian Studies, the Australian National University.";"Jones, Barbara";" A grammar of Wangkajunga: A language of the Great Sandy Desert of North Western Australia, Canberra: Pacific Linguistics 636, Research School of Pacific and Asian Studies, the Australian National University";2011;;;;;;;;;;;;;;;;"Pama-Nyungan > Desert Nyungic > Wati > Martuwangkic > Warnman-Wangka > mart1256";;
"tola1247";"Tolaki";122,04755;-4,04448;;"Edwards, Owen. 2012. Grammatical Functions in Tolaki. Honours Thesis. Australian National University.";"Edwards, Owen";" Grammatical Functions in Tolaki";2012;;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Western Bungku-Tolaki > West Coast Bungku-Tolaki > tola1247";;
"nyul1247";"Nyulnyul";122,85075;-16,91292;;"McGregor, William B. 2011. The Nyulnyul language of Dampier Land, Western Australia. 632.  Pacific Linguistics: Canberra.";"McGregor, William B";" The Nyulnyul language of Dampier Land, Western Australia";2011;;;;;;;;;;;;;;;;"Nyulnyulan > Western Nyulnyulan > Nyulnyulic > nyul1247";;
"yala1262";"Yalarnnga";139,511;-21,731;;"Breen, Gavan, and Barry J. Blake. 2007. The grammar of Yalarnnga: A language of western Queensland. Canberra: Pacific Linguistics.";"Breen, Gavan, and Barry J";2007;" Blake";;;;;;;;;;;;;;;;"Pama-Nyungan > Kalkatungic > yala1262";;
"kend1254";"Salako";109,53511;0,34496;;"Adelaar, Sandar. 2002. Salako morphology and the interrelation between voice, mood and aspect. In K. Alexander Adelaar & Robert Blust (eds.), Between Worlds: Linguistics Papers in memory of David John Prentice. pp. 1-27. 529. Pacific Linguistics: Canberra.";"Adelaar, Sandar";" Salako morphology and the interrelation between voice, mood and aspect";2002;;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > Malayo-Sumbawan > North and East Malayo-Sumbawan > Malayic > Western Malayic Dayak > kend1254";;
"timu1262";"Timugon Murut";115,93764;5,1511;"At a loss to know how Brewis' (2002) notes applies (if it does) to the pronouns: 'Nominative marks Subject, Genitive marks Actor as Non-Subject and Dative marks Non-Actor as Non-Subject (Oblique)'. Set A column to the Nominitive form. Set both O and poss columns to Genitive form.";"Brewis, Richard. 2002. Split transitivity in Timugon Murut. In K. Alexander Adelaar & Robert Blust (eds.), Between Worlds: Linguistic papers in memory of David John Prentice, pp. 39-47. Canberra: Pacific Linguistics, Research School of Pacific and Asian Studies, the Australian National University.  ";"Brewis, Richard";" Split transitivity in Timugon Murut";2002;;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > North Borneo Malayo-Polynesian > Southwest Sabahan > Greater Murutic > Murutic > Northern Murutic > timu1262";;
"djin1251";"Jingulu";133,63957;-17,16893;"The Warranganku dialect... has a separate set of Genitive pronouns, used to refer to a possessor, formed by adding a linking vowel and a gender agreement suffix to the root so that the pronouns agrees (sic) in gender with the possessum. If the possessum is masculine the Genetive pronoun ends in /-na/...if feminine /-rnini/...if neuter /-nu/...and if vegetable gender the Genitive pronoun ends in /-rnimi/... p154 Just the genitive stems have been provided here.";"Pensalfini, Robert. 2003. A grammar of Jingulu: An Aboriginal language of the Northern Territory. 536. Pacific Linguistics: Canberra.";"Pensalfini, Robert";" A grammar of Jingulu: An Aboriginal language of the Northern Territory";2003;;;;;;;;;;;;;;;;"Mirndi > djin1251";;
"warr1255";"Wargamay";146,16612;-18,54808;;"Dixon, R.M.W.. 1981. Wargamay. In Dixon, R.M.W. and Barry J. Blake (eds.), Handbook of Australian Languages, Volume 2. pp. 1-144 Canberra: The Australian National University Press.";"Dixon, R";"W";"M";;;;;;;;;;;;;;;;"Pama-Nyungan > warr1255";;
"waja1257";"Watjarri";117,23012;-28,15486;;"Douglas, Wilfred H. 1981. Watjarri. In Dixon, R.M.W. and Barry J. Blake (eds.), Handbook of Australian Languages, Volume 2. pp. 197-272. Canberra: The Australian National University Press.";"Douglas, Wilfred H";" Watjarri";1981;;;;;;;;;;;;;;;;"Pama-Nyungan > South-West Pama-Nyungan > Kartu-Nhanda > Kartu > waja1257";;
"suab1238";"Inanwatan";132,17113;-2,07728;"Inawatan has both free and bound possessive pronominal forms. The free forms express alienable possession, the possessive prefixes express inalienable possession. p29 The free, alienable, forms have been provided here. They express the gender of the possessor by taking suffix -so masculine or -wo feminine.";"de Vries, Lourens. 2004. A short grammar of Inanwatan, an endangered language of the Bird’s Head of Papua, Indonesia. 560. Canberra: Pacific Linguistics.";"de Vries, Lourens";" A short grammar of Inanwatan, an endangered language of the Bird’s Head of Papua, Indonesia";2004;;;;;;;;;;;;;;;;"Inanwatan > suab1238";;
"chur1257";"Old Church Slavonic";57,91854;59,85336;;"Huntley, David. 1993. Old Church Slavonic. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 125-187. London, New York: Routledge.";"Huntley, David";" Old Church Slavonic";1993;;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > chur1257";;
"bulg1262";"Bulgarian";25,13122;42,83263;;"Scatton, Ernest A. 1993. Bulgarian. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 188-248. London, New York: Routledge.";"Scatton, Ernest A";" Bulgarian";1993;;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Macedo-Bulgarian > bulg1262";;
"mace1250";"Macedonian";21,71636;41,61128;;"Friedman, Victor A. 1993. Macedonian. In Comrie, Bernard and Greville G. Corbett, The Slavonic Languages. pp. 249-305. London, New York: Routledge.";"Friedman, Victor A";" Macedonian";1993;;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Macedo-Bulgarian > mace1250";;
"serb1264";"Serbian/Croatian";21,5043;42,67797;;"Brown, Wayles. 1993. Serbo-Croat. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 306-387.  London, New York: Routledge.";"Brown, Wayles";" Serbo-Croat";1993;;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > serb1264";;
"slov1268";"Slovene";14,82293;46,1116;;"Priestly, T.M.S. 1993. Slovene. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 387-451. London, New York: Routledge.";"Priestly, T";"S";"M";;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > slov1268";;
"czec1258";"Czech";15,35437;49,72707;;"Short, D. 1993a. Czech. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 455-532. London, New York: Routledge.";"Short, D";" Czech";" 1993a";;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak > Czech-Lach > czec1258";;
"slov1269";"Slovak";19,50525;48,75211;;"Short, D. 1993b. Slovak. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 533-592. London, New York: Routledge.";"Short, D";" Slovak";" 1993b";;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak > slov1269";;
"uppe1395";"Upper Sorbian";14,40873;51,33824;;"Stone, Gerald. 1993b. Sorbian (Upper and Lower). In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 593-685. London, New York: Routledge.";"Stone, Gerald";" Sorbian (Upper and Lower)";" 1993b";;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > West Slavic > Sorbian > uppe1395";;
"lowe1385";"Lower Sorbian";13,94982;51,66116;;"Stone, Gerald. 1993b. Sorbian (Upper and Lower). In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 593-685. London, New York: Routledge.";"Stone, Gerald";" Sorbian (Upper and Lower)";" 1993b";;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > West Slavic > Sorbian > lowe1385";;
"poli1260";"Polish";19,39714;52,12455;"Some person number combinations have up to three alternatives. In such cases the monosyllabic form is an enclitic, the bisyllabic form are emphatic, and the forms beginning with n- only occur as objects of prepositions.";"Rothstein, Robert. 1993. Polish. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 686-758. London, New York: Routledge.";"Rothstein, Robert";" Polish";1993;;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > West Slavic > Lechitic > poli1260";;
"kash1274";"Cassubian";18,60668;54,31638;;"Stone, G. 1993a. Cassubian. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 759-794. London, New York: Routledge.";"Stone, G";" Cassubian";" 1993a";;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > West Slavic > Lechitic > kash1274";;
"bela1254";"Belorussian";28,05363;53,54239;;"Mayo, Peter. 1993. Belorussian. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 887-946. London, New York: Routledge.";"Mayo, Peter";" Belorussian";1993;;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > East Slavic > bela1254";;
"ukra1253";"Ukrainian";31,41053;49,00945;;"Shevelov, George Y. 1993. Ukrainian. In Comrie, Bernard and Greville G. Corbett (eds.), The Slavonic Languages. pp. 947-998. London, New York: Routledge.";"Shevelov, George Y";" Ukrainian";1993;;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > East Slavic > Ukrainian-Rusyn > ukra1253";;
"kwin1241";"Kwini";126,54734;-14,22417;;"McGregor, William B. 1993. Gunin/Kwini. Munich, Newcastle: LINCOM Europa.";"McGregor, William B";" Gunin/Kwini";1993;;;;;;;;;;;;;;;;"Worrorran > Northern Worrorran > Forrest River > kwin1241";;
"engg1245";"Enggano";102,25631;-5,3953;;"Kähler, Hans. 1940. Grammatischer Abriß des Enggano. Zeitschrift für Eingeborensprachen 30. pp. 81–117, pp. 182–210, pp. 296–320.";"Kähler, Hans";" Grammatischer Abriß des Enggano";1940;;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > engg1245";;
"puyu1239";"Puyuma";120,99559;22,64602;"cpaital letters are used for retoflexes";"Teng, Stacy Fang-Ching. 2007. A reference grammar of Puyuma, an Austronesian language of Taiwan. PhD thesis. Australian National University.";"Teng, Stacy Fang-Ching";" A reference grammar of Puyuma, an Austronesian language of Taiwan";2007;;;;;;;;;;;;;;;;"Austronesian > puyu1239";;
"pala1344";"Palauan";134,53597;7,44723;;"Josephs, Lewis S. 1975. Palauan reference grammar. Honolulu: University Press of Hawaii.";"Josephs, Lewis S";" Palauan reference grammar";1975;;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > pala1344";;
