glotto;language name;latitude;longitude;comment;Source;date of entry;link to source;family;Kinship;Pronouns;ISO;location
nenn1238;Nen;-8.62;142.03;;Evans, Nicholas, informant Jimmy Nébni 2016;;;Morehead-Wasur;x;;;Papua
sene1264;Seneca;42.61;-79.34;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
cayu1261;Cayuga;42.81;-79.44;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
onon1246;Onondaga;42.99;-78.05;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
onei1249;Oneida;43.77;-84.06;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
moha1258;Mohawk;45.00;-74.62;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
tusc1257;Tuscarora;43.13;-79.42;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
glot0004;Two Mountain Iroquios;44.33;-77.50;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
wyan1247;Wyandote;44.33;-77.50;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
glot0005;Dakota: Isauntie;42.89;-97.42;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0006;Dakota: Yankton;40.05;-95.44;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0007;Dakota: Yanktonais;46.44;-97.27;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0008;Dakota: Sisseton;45.66;-97.05;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0009;Dakota: Ogalalla;41.13;-101.75;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0010;Dakota: Brulé;41.10;-101.89;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0011;Dakota: Unepapa;47.69;-102.12;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0012;Dakota: Blackfoot;44.36;-100.41;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
assi1247;Assiniboine (LHM: Asiniboine);49.29;-106.07;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0013;Punkä;42.73;-98.67;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
omah1247;Omahä;42.09;-96.53;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
iowa1245;Iowä;40.05;-95.52;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0014;Otoe (Mossouri the same);40.67;-95.92;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
utoa1244;Uto-Aztecan (LHM: Kaw);40.10;-110.31;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Uto-Aztecan;x;;;
osag1243;Osage (Quappä the same);36.78;-96.29;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0015;Winnebagoe;43.76;-94.18;winn1245;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0016;Mandan;46.89;-100.91;mand1446;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
glot0017;Minnitaree;48.06;-103.11;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
crow1244;Crow;45.37;-107.87;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Siouan;x;;;
choc1276;Choeta1;33.90;-94.82;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Muskogean;x;;;
choc1276B;Choeta2;33.90;-94.82;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Muskogean;x;;;
chic1270;Chickasa;33.95;-97.13;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Muskogean;x;;;
cree1270;Creek;31.00;-87.50;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Muskogean;x;;;
cher1273;Cherokee;35.47;-83.16;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
cher1273B;Mountain Cherokee;35.47;-83.16;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Iroquoian;x;;;
pawn1254;Republican Pawnee;36.29;-96.89;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Caddoan;x;;;
pawn1254B;Pawnee B;36.29;-96.89;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Caddoan;x;;;
arik1262;Arikara (LHM: Arickaree);40.65;-98.72;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Caddoan;x;;;
plai1258;Plains Cree (LHM: Cree: of the Prairie);51.24;-110.46;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
wood1236;Woods Cree (LHM: Cree: of the Woods);57.00;-99.00;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0045;LHM: Cree: of the Lowlands;49.84;-97.16;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0044;LHM: Ojibwa: Lake Superior;46.59;-87.62;ojib1241;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0043;LHM: Ojibwa: Lake Michigan;45.08;-85.63;'';Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0041;LHM: Ojibwa: Lake Huron;44.57;-80.96;'';Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0042;LHM: Ojibwa: Kansas;38.95;-97.56;'';Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
otta1242;Ottawa (LHM: Otǎwa);44.60;-83.23;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
pota1247;Potawatomi (LHM: Potǎwattamie);40.95;-89.19;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
miam1252;Miami;40.00;-90.00;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0018;Peoria;38.60;-95.19;peor1238;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0019;Pianeshaw;38.57;-94.93;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0020;Kaskaskia;38.57;-94.93;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0021;Weaw;38.57;-94.93;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0022;Sawk and Fox;40.01;-95.78;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
meno1252;Menomine;44.98;-88.64;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0023;Shiyan;35.10;-100.00;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unknown;x;;;
kick1244;Kickapoo (LHM: Kikapoo);41.66;-89.03;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
shaw1249;Shawnee;35.35;-96.76;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
gros1243;An-ah'-ne-lin (Gros Ventres of Prairie);48.48;-108.74;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0024;Piegan Blackfoot;48.26;-99.21;sigs1238;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0025;Blood Blackfoot;47.82;-110.69;'';Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0026;Miemac;45.06;-64.20;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unknown;x;;;
glot0027;Etchemiu, or Malisete;45.06;-64.20;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unknown;x;;;
mohe1244;Mohegan;37.00;-96.00;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0028;Delaware;35.03;-98.32;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
muns1251;Munsee;42.60;-81.92;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Algic;x;;;
glot0029;Slave Lake Indians or A-cha'o-tin-ne;60.25;-123.51;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unknown;x;;;
glot0030;Hare Indians or Tä-nä'-tin-ne;48.26;-101.45;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unknown;x;;;
glot0031;Red-knife, or Täl-sote'e-nä;48.26;-101.45;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unknown;x;;;
jarg1234;Kǔtchin, or Louchieux;60.25;-123.51;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Pidgin;x;;;
glot0047;Tukuthe;46.00;-118.00;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unknown;x;;;
spok1245;Spokäne;47.91;-118.06;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Salishan;x;;;
glot0032;Okinǎkau;48.26;-101.45;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unknown;x;;;
glot0033;Yakama;47.17;-122.61;yaki1237;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Sahaptian;x;;;
glot0034;Kootenay;47.17;-122.61;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unclassified;x;;;
glot0035;Utahs (Tabegwaches);40.77;-112.06;utes1238;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Uto-Aztecan;x;;;
glot0036;Laguna;35.04;-107.44;west2632;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Keresan;x;;;
glot0037;Tesuque;35.68;-106.05;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Unknown;x;;;
taba1266;Tabasco Chontal (LHM: Chotal (Tabasco));18.17;-92.74;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Uto-Aztecan;x;;;
chib1270;Chibcha (Bew Granada);6.25;-74.17;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Chibchan;x;;;
glot0038;Eskimo: (West of Hudson's Bay);56.79;-96.79;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Eskimo-Aleut;x;;;
glot0039;Eskimo: (Greenland);64.17;-51.77;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Eskimo-Aleut;x;;;
glot0040;Eskimo: (Northumberland Inlet);46.93;-67.04;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Eskimo-Aleut;x;;;
ngal1292;Dalabon (Ngalkbun);-13.98;133.94;kin terms are normally suffixed with an appropriate possessive suffix, e.g. bulungan /buluŋan/ 'my father', buluno 'his/her father' etc. Just the bare stems are given in these lists;Nick Evans, 2016;;;Gunwinyguan;x;;;
kaya1318;Kayardild;-17.07;139.49;;Nick Evans, 2016;;;Tangkic;x;;;Australia
komn1238;Komnzo;-8.30;141.44;g represents /ŋg/ and th represents θ, in addition ə is inserted into certain clusters, so that orthographic <nge> is phonetic [nəŋge];Nick Evans, 2016;;;Morehead-Wasur;x;;;Papua
gang1267;Ganggalida;-17.54;139.43;Ganggalida (Yukulta) language, Tangkic Family, sources are Keen 1983 and Nancarrow 2014. So far entered as far as grandkin terms;;;;Tangkic;x;;;Australia
warl1254;Warlpiri;-20.10;131.05;Warlpiri language, Pama-Nyungan Family, informants Maggie Tukumba and Dudley Lawrence. General note: kin terms are normally suffixed with an appropriate possessive suffix, here only the 1sg 'my' -na is used (on disyllablic stem). ng = ŋ, ny = ɲ, rn = ɳ, j = c, rt = ʈ, rl = ɭ, rd = ɽ, rr = r, r = ɻ.;entered by David Nash, 26 Aug 2016;;;Pama-Nyungan;x;;;
gunw1252;Bininj Kun-wok;-12.34;133.36;;;;;Gunwinyguan;x;;;
sout2856;Nafsan;-17.70;168.38;Nafsan informants Marinette Kalpram, Joel Kalpram. Note, the labial-velar is officially written with a tilde over a ‘p’ but I don’t have that keyboard function so am using ‘kp’.;;;;Austronesian;x;;;
bard1254;Bardi;-16.63;122.91;Bowern 2012:42-43;;;;Nyulnyulan;x;;;
turu1249;Turung;26.34;92.27;a (/a-/) prefix denoting one's own relative. k- (/kə-/) prefix denoting another's relative;Turung, a variety of Singhpo language spoken in Assam, Stephen Morey, Pacific Linguistics 614, ANU, Canberra, 2010;20161121;;Tai-Kadai;x;;;
paco1243;Pacoh;16.34;107.09;;Alves, Mark John. 2006. A grammar of Pacoh: a Mon-Khmer language of the central highlands of Vietnam. (Pacific Linguistics, 580.) Canberra: Australian National University. xi+129pp;20161121;http://glottolog.org/resource/reference/id/103855;Austroasiatic;x;;;
lati1261;Latin;41.90;12.45;;;20161124;;Indo-European;x;;;
klon1234;Klon;-8.37;124.45;;Baird, Louise. 2008. A grammar of Klon: a non-Austronesian language of Alor, Indonesia. (Pacific Linguistics, 596.) Canberra: Pacific Linguistics, Research School of Pacific and Asian Studies, The Australian National University. xv+242pp.;20161124;http://glottolog.org/resource/reference/id/95347;Timor-Alor-Pantar;x;;;
toab1237;Toqabaqita;-8.42;160.58;;Lichtenberk, Frantisek. 2008. A dictionary of Toqabaqita. (Pacific Linguistics, 592.) Canberra: Pacific Linguistics. 407pp.;20161125;http://glottolog.org/resource/reference/id/476792;Austronesian;x;;;
lisu1250a;Lisu (Njiang Dialect);26.00;98.00;;Yu, Defen. 2007. Aspects of Lisu phonology and grammar, a language of Southeast Asia. (Pacific Linguistics, 588.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 254pp;20161125;http://glottolog.org/resource/reference/id/311017;Sino-Tibetan;x;;;
lisu1250b;Lisu (Shibacha Dialect);24.69;97.73;;Yu, Defen. 2007. Aspects of Lisu phonology and grammar, a language of Southeast Asia. (Pacific Linguistics, 588.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 254pp;20161125;http://glottolog.org/resource/reference/id/311017;;x;;;
lisu1250c;Lisu (Dechang Dialect);26.00;98.00;;Yu, Defen. 2007. Aspects of Lisu phonology and grammar, a language of Southeast Asia. (Pacific Linguistics, 588.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 254pp;20161125;http://glottolog.org/resource/reference/id/311017;Sino-Tibetan;x;;;
lisu1250d;Lisu (Lipo Dialect);25.33;99.08;;Yu, Defen. 2007. Aspects of Lisu phonology and grammar, a language of Southeast Asia. (Pacific Linguistics, 588.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 254pp;20161125;http://glottolog.org/resource/reference/id/311017;Sino-Tibetan;x;;;
maib1239;Maybrat;-1.37;132.59;;Dol, Philomena Hedwig. 1999. A Grammar of Maybrat: a language of Bird's Head, Irian Jaya, Indonesia. Rijksuniversiteit te Leiden. Leiden: Leiden University. xix+386pp. (zugl.: Leiden, Univ., Diss., 1999).;20161125;http://glottolog.org/resource/reference/id/63712;Maybrat-Karon;x;;;
yala1262;Yalarnnga;-21.73;139.51;;Breen, Gavan and Blake, Barry J. 2007. The grammar of Yalarnnga: a language of western Queensland. (Pacific Linguistics, 584.) Canberra: Australian National University. x+120pp.;20161125;http://glottolog.org/resource/reference/id/4113;Pama-Nyungan;x;;;
kunj1248;Kunjen (Oykangand);-16.68;143.53;;Sommer, Bruce. 2006. Speaking Kunjen: An ethnography of Oykangand kinship and communication, the Cape York region of northern Queensland, Australia. (Pacific Linguistics, 582.) Canberra: Pacific Linguistics. 266pp. (Aug 2006 publishing date).;20161128;http://glottolog.org/resource/reference/id/2433;Pama-Nyungan;x;;;Australia
wangXXXX;Wangkajunga;-24.32;121.95;;Barbara Jones. 2011. A grammar of Wangkajunga: a language of the Great Sandy Desert of North Western Australia. (Pacific Linguistics, 636.) Canberra: Pacific Linguistics.;20161128;;Pama-Nyungan;x;;;
dupa1235;Dupaningan Agta;17.37;122.19;;Robinson, Laura C. 2011. Dupaningan Agta: Grammar, vocabulary, and texts. (Pacific Linguistics, 635.) Canberra: Pacific Linguistics. 334pp.;20161128;http://glottolog.org/resource/reference/id/477695;Austronesian;x;;;
taku1257;Takuu;-4.80;157.08;;Richard M. Moyle. 2011. Takuu grammar and dictionary: a Polynesian language of the South Pacific. (Pacific Linguistics, 632.) Canberra: Pacific Linguistics. 344pp.;20161128;http://glottolog.org/resource/reference/id/303863;Austronesian;x;;;
kala1397;Kalam;-5.25;144.59;;Andrew Pawley and Ralph Bulmer. 2011. A dictionary of Kalam with ethnographic notes. (Pacific Linguistics, 630.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 810pp.;20161129;http://glottolog.org/resource/reference/id/303991;;x;;;
malg1242;Malgana;-26.21;114.25;;Gargett, Andrew. 2011. A salvage grammar of Malgana, the language of Shark Bay, Western Australia. (Pacific Linguistics, 624.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 102pp.;20161129;http://glottolog.org/resource/reference/id/308706;Pama-Nyungan;x;;;
mali1284;Mali (Baining);-4.72;152.21;;Stebbins, Tonya N. 2011. Mali (Baining) grammar. (Pacific Linguistics, 623.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 437pp.;20161129;http://glottolog.org/resource/reference/id/309421;Baining;x;;;
jingXXXX;Jingulu;-19.64;134.16;;Rob Pensalfini. 2011. Jingulu texts and dictionary. (Pacific Linguistics, 620.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 338pp.;20161130;http://glottolog.org/resource/reference/id/18931;Unknown;x;;;
meya1236;Meyah;-1.18;133.62;;Gilles Gravelle. 2011. Meyah: a language of West Papua, Indonesia. (Pacific Linguistics, 619.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 324pp.;20161130;http://glottolog.org/resource/reference/id/69526;East Bird's Head;x;;;
nyul1247;Nyulnyul;-16.91;122.85;;William McGregor. 2011. The Nyulnyul language of Dampier Land, Western Australia. (Pacific Linguistics, 634.) Canberra: Pacific Linguistics. xxxi+915pp. (2 vols.);20161130;http://glottolog.org/resource/reference/id/318711;Nyulnyulan;x;;;
mere1242;Merei;-15.28;166.91;;Chung, Ying Shing Anthony. 2005. A descriptive grammar of Merei (Vanuatu). (Pacific Linguistics, 573.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xii+74pp. (Also as 1998 MA Northern Territory U, Darwin.);20161130;http://glottolog.org/resource/reference/id/43178;Austronesian;x;;;
tial1239;Tiale;-15.23;166.84;;Chung, Ying Shing Anthony. 2005. A descriptive grammar of Merei (Vanuatu). (Pacific Linguistics, 573.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xii+74pp. (Also as 1998 MA Northern Territory U, Darwin.);20161130;http://glottolog.org/resource/reference/id/43178;Austronesian;x;;;
lameXXXX;Lametin;-15.26;166.88;;Chung, Ying Shing Anthony. 2005. A descriptive grammar of Merei (Vanuatu). (Pacific Linguistics, 573.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xii+74pp. (Also as 1998 MA Northern Territory U, Darwin.);20161130;http://glottolog.org/resource/reference/id/43178;Austronesian;x;;;
jeha1242;Jahai (Jehai);5.64;101.54;;Burenhult, Niclas. 2005. A grammar of Jahai. (Pacific Linguistics, 566.) Canberra: Research School of Pacific and Asian Studies, Australian National University. 260pp.;20161130;http://glottolog.org/resource/reference/id/128069;Austroasiatic;x;;;
mala1533;Kristang (Malacca-Batavia Creole);-2.00;129.00;;Baxter, Alan N. and de Silva, Patrick. 2004. A dictionary of Kristang (Malacca Creole Portuguese) - English. (564.) Pacific Linguistics. Canberra: Pacific Linguistics. 78pp;20161201;http://glottolog.org/resource/reference/id/65487;Indo-European;x;;;
