glotto;language name;latitude;longitude;comment;Source;author;title;publication;publisher;school;address;year;edition;entryType;booktitle;editor;link;date of entry;link to source;family;Kinship;Pronouns;ISO;Classification;location;marriage_rule
tami1289;Tamil;10.52;78.83;pronouns my or mine: en;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Dravidian;x;;;Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Tamiloid > Tamil-Paliyan > tami1289;;
telu1262;Telugu;16.45;78.70;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Dravidian;x;;;Dravidian > South Dravidian > South Dravidian II > Teluguic > telu1262;;
nucl1305;Modern Kannada;13.59;76.12;pronouns my or mine: nǎnnǎ;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Dravidian;x;;;Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Badaga-Kannada > Kannadoid > Nuclear Kannaoid > nucl1305;;
hind1269;Hindi;25.00;77.00;pronouns my or mine: masc: merá, fem: meri;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Indo-European;x;;;Indo-European > Indo-Iranian > Indo-Aryan > Indo-Aryan Central zone > Subcontinental Central Indo-Aryan > Western Hindi > Hindustani > hind1269;;
beng1280;Bengali;24.00;90.00;pronouns my or mine: masc: amar;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Indo-European;x;;;Indo-European > Indo-Iranian > Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Gauda-Banga > beng1280;;
guja1252;Gujarati;22.69;71.10;pronouns my or mine: masc: mäzhä, fem: mäzhi;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Indo-European;x;;;Indo-European > Indo-Iranian > Indo-Aryan > Indo-Aryan Central zone > Subcontinental Central Indo-Aryan > Gujarati-Rajasthani > Gujaratic > guja1252;;
mara1378;Marathi;17.93;76.67;pronouns my or mine: masc: märo, fem: märi;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Indo-European;x;;;Indo-European > Indo-Iranian > Indo-Aryan > Indo-Aryan Southern zone > Maharastric > Marathic > mara1378;;
sini1245;Chinese;29.00;119.00;pronouns my or mine: wo-tě;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Sino-Tibetan;x;;;Sino-Tibetan > sini1245;;
japa1256;Japanese;35.00;135.00;pronouns my or mine: wä-tä-k´-se-no;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Japonic;x;;;Japonic > japa1256;;
burm1266;Burmish;24.35;97.74;pronouns my or mine: masc: ky-u-nok, fem: ky-un-mǎ;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Sino-Tibetan;x;;;Sino-Tibetan > Burmo-Qiangic > Lolo-Burmese > burm1266;;
sgaw1245;S'gau Karen;17.99;97.71;pronouns my or mine: yǎ;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Sino-Tibetan;x;;;Sino-Tibetan > Karenic > Southern Karen > Sgaw > sgaw1245;;
pwoo1239;Pwo Karen;15.19;98.74;pronouns my or mine: y';Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Sino-Tibetan;x;;;Sino-Tibetan > Karenic > Peripheral Karen > pwoo1239;;
kare1337;Karenic (Karen);18.02;98.27;pronouns my or mine: yeh;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Sino-Tibetan;x;;;Sino-Tibetan > kare1337;;
gilb1244;Gilbertise (Kingsmill Island);0.64;173.22;pronouns my or mine: suffix u;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Austronesian;x;;gil;Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Micronesian > Nuclear Micronesian > Central Micronesian > gilb1244;;
kosr1238;Kosraean (Kusaien);5.50;163.00;pronouns my or mine: suffix uk or ik;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Austronesian;x;;;Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Micronesian > Nuclear Micronesian > kosr1238;;
hawa124x;Hawaiian (Morgan);19.63;-155.43;pronouns my or mine: kǔ-ǔ and ko´ǔ;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Austronesian;x;;;hawa124x: no Classification;;
maor1246;Maori;-38.29;176.54;pronouns my or mine: ta´-ku(sing.), a´-ku(pl.);Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Austronesian;x;;;Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Central Pacific linkage > Tokelau-Fijian > Polynesian > Nuclear Polynesian > Northern Outlier Polynesian-East Polynesian > Solomons Northern Outlier Polynesian-East Polynesian > Central Northern Outlier Polynesian-East Polynesian > East Polynesian > Central Eastern Polynesian > maor1246;;
glot0003;Zulu (Morgan) Amazulu Kafir;-25.33;31.35;pronouns my or mine: Wa´-me or ya´-me;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Atlantic-Congo;x;;;glot0003: no Classification;;
idii1243;Idi;-8.76;142.30;;Evans, Nicholas, informant Jimmy Nébni 2016;Evans, Nickolas and Nébni, Jimmy;Fieldnotes;;;;;2016;;misc;;;;;;Pahoturi;x;;;Pahoturi > idii1243;Papua;
nenn1238;Nen;-8.62;142.03;;Evans, Nicholas, informant Jimmy Nébni 2016;Evans, Nickolas and Nébni, Jimmy;Fieldnotes;;;;;2016;;misc;;;;;;Morehead-Wasur;x;;;Morehead-Wasur > Morehead-Maro > Nambu > nenn1238;Papua;
sene1264;Seneca;42.61;-79.34;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;Iroquoian > Northern Iroquoian > sene1264;;
cayu1261;Cayuga;42.81;-79.44;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;Iroquoian > Northern Iroquoian > cayu1261;;
onon1246;Onondaga;42.99;-78.05;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;Iroquoian > Northern Iroquoian > onon1246;;
onei1249;Oneida;43.77;-84.06;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;Iroquoian > Northern Iroquoian > Mohawk-Oneida > onei1249;;
moha1258;Mohawk;45.00;-74.62;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;Iroquoian > Northern Iroquoian > Mohawk-Oneida > moha1258;;
tusc1257;Tuscarora;43.13;-79.42;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;Iroquoian > Northern Iroquoian > Tuscarora-Nottoway > tusc1257;;
glot0004;Two Mountain Iroquios;44.33;-77.50;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;glot0004: no Classification;;
wyan1247;Wyandote;44.33;-77.50;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;Iroquoian > Northern Iroquoian > wyan1247;;
glot0005;Dakota: Isauntie;42.89;-97.42;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0005: no Classification;;
glot0006;Dakota: Yankton;40.05;-95.44;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0006: no Classification;;
glot0007;Dakota: Yanktonais;46.44;-97.27;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0007: no Classification;;
glot0008;Dakota: Sisseton;45.66;-97.05;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0008: no Classification;;
glot0009;Dakota: Ogalalla;41.13;-101.75;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0009: no Classification;;
glot0010;Dakota: Brulé;41.10;-101.89;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0010: no Classification;;
glot0011;Dakota: Unepapa;47.69;-102.12;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0011: no Classification;;
glot0012;Dakota: Blackfoot;44.36;-100.41;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0012: no Classification;;
assi1247;Assiniboine (LHM: Asiniboine);49.29;-106.07;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;Siouan > Core Siouan > Mississippi Valley > Dakotan > assi1247;;
glot0013;Punkä;42.73;-98.67;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0013: no Classification;;
omah1247;Omahä;42.09;-96.53;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;Siouan > Core Siouan > Mississippi Valley > Dhegiha > omah1247;;
iowa1245;Iowä;40.05;-95.52;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;Siouan > Core Siouan > Mississippi Valley > Winnebago-Chiwere > iowa1245;;
glot0014;Otoe (Mossouri the same);40.67;-95.92;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0014: no Classification;;
utoa1244;Uto-Aztecan (LHM: Kaw);40.10;-110.31;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Uto-Aztecan;x;;;utoa1244: no Classification;;
osag1243;Osage (Quappä the same);36.78;-96.29;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;Siouan > Core Siouan > Mississippi Valley > Dhegiha > Osage-Kansa > osag1243;;
glot0015;Winnebagoe;43.76;-94.18;winn1245;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0015: no Classification;;
glot0016;Mandan;46.89;-100.91;mand1446;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0016: no Classification;;
glot0017;Minnitaree;48.06;-103.11;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;glot0017: no Classification;;
crow1244;Crow;45.37;-107.87;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Siouan;x;;;Siouan > Core Siouan > Missouri River Siouan > crow1244;;
choc1276;Choeta1;33.90;-94.82;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Muskogean;x;;;Muskogean > Western Muskogean > choc1276;;
choc1276B;Choeta2;33.90;-94.82;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Muskogean;x;;;choc1276B: no Classification;;
chic1270;Chickasa;33.95;-97.13;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Muskogean;x;;;Muskogean > Western Muskogean > chic1270;;
cree1270;Creek;31.00;-87.50;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Muskogean;x;;;Muskogean > cree1270;;
cher1273;Cherokee;35.47;-83.16;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;Iroquoian > cher1273;;
cher1273B;Mountain Cherokee;35.47;-83.16;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Iroquoian;x;;;cher1273B: no Classification;;
pawn1254;Republican Pawnee;36.29;-96.89;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Caddoan;x;;;Caddoan > Northern Caddoan > Pawnee-Kitsai > Pawnee-Arikara > pawn1254;;
pawn1254B;Pawnee B;36.29;-96.89;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Caddoan;x;;;pawn1254B: no Classification;;
arik1262;Arikara (LHM: Arickaree);40.65;-98.72;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Caddoan;x;;;Caddoan > Northern Caddoan > Pawnee-Kitsai > Pawnee-Arikara > arik1262;;
plai1258;Plains Cree (LHM: Cree: of the Prairie);51.24;-110.46;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Algic;x;;;Algic > Algonquian > Cree-Montagnais-Naskapi > Cree > plai1258;;
wood1236;Woods Cree (LHM: Cree: of the Woods);57.00;-99.00;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Algic;x;;;Algic > Algonquian > Cree-Montagnais-Naskapi > Cree > wood1236;;
glot0045;LHM: Cree: of the Lowlands;49.84;-97.16;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Algic;x;;;glot0045: no Classification;;
glot0044;LHM: Ojibwa: Lake Superior;46.59;-87.62;ojib1241;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Algic;x;;;glot0044: no Classification;;
glot0043;LHM: Ojibwa: Lake Michigan;45.08;-85.63;'';Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Algic;x;;;glot0043: no Classification;;
glot0041;LHM: Ojibwa: Lake Huron;44.57;-80.96;'';Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Algic;x;;;glot0041: no Classification;;
glot0042;LHM: Ojibwa: Kansas;38.95;-97.56;'';Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Algic;x;;;glot0042: no Classification;;
otta1242;Ottawa (LHM: Otǎwa);44.60;-83.23;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Algic;x;;;Algic > Algonquian > Eastern Great Lakes Algonquian > Ojibwa-Potawatomi > Ojibwa > otta1242;;
pota1247;Potawatomi (LHM: Potǎwattamie);40.95;-89.19;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;Morgan, Lewis Henry;Systems of Consanguinity and Affinity of the Human Family;;Smithonian Institute;;Washington;1871;;book;;;;;;Algic;x;;;Algic > Algonquian > Eastern Great Lakes Algonquian > Ojibwa-Potawatomi > pota1247;;
